_source,cust_guid,history,md5,model,notes,observed,platform,related_intent,requesttype,routed,subtags,tag,tagsource,text,timestamp,weight
"{'corpus': 'ccsrsprod', 'flavor': 'week20170122a', 'record': 0}","414712090206012017Comcast.cust,303816390919122016Comcast.cust,332037111801072010Comcast.USR3JR,493132480513122016Comcast.cust,659200120620012017Comcast.cust,546559540311032016Comcast.cust,809754260112112014Comcast.USRIMS,297113100106102007Comcast.USR4JR,917955110822062012Comcast.USRIMS,405933550502032013Comcast.USRIMS,005559181904042012Comcast.USR9JR,221701450613122015Comcast.cust,219347000209042016Comcast.cust,560306070504052016Comcast.cust,153320340814022016Comcast.cust,857858391213012017Comcast.cust,261627530525012017Comcast.cust",,"6edd8a179d04ad336c5bb44481e9684c,e2c1ed76601e81c911a416b47c4b7513,a985180ee01f37aaf0ea541859649f3f,acebf2faa87e07dc16b5e8616aee0036,c070f9891f8bf107a419f028676cf5b1,3460d3904e3fc97957e63b93a3ca6513,62b538e3f21531a58abe5b6fa99e66c3,3a4c7f4e16d6c45b04aa97bc167eb591,2758ae5202b84898e4c37a33275a6684,eeb66ac842ea8bbc6921aa93acbe2417,bbdd935d2b3d08b02f60721fcfb936ee,e1e683d470c6ce75dfb733393f02c1e8,4644d8611914c94c666faae80524e09f,a9090317b2713c21a4c9a9b680b127f1,f5246c54d3db92b34ac2c902f4fa1b60,4b38db1edcb020298eaa3dbe7bc9139b,a4357995cdc139d126a7efeb975dea28",known_good,"[""autotagged on 2017-02-08T15:36:16.643780 by fwph""]",T,,,,T,,T,"{'corpus': 'tagging_source_comcast.csv', 'flavor': '', 'record': 410}",What Can I Ask?,"2017-01-28T23:52:42.193000+00:00,2017-01-27T06:26:34.484000+00:00,2017-01-23T17:45:16.848000+00:00,2017-01-25T20:57:24.199000+00:00,2017-01-24T23:10:01.246000+00:00,2017-01-26T22:19:54.929000+00:00,2017-01-28T17:38:41.929000+00:00,2017-01-26T03:47:02.238000+00:00,2017-01-23T14:31:02.866000+00:00,2017-01-24T23:31:01.475000+00:00,2017-01-25T04:29:18.514000+00:00,2017-01-24T17:56:30.945000+00:00,2017-01-28T17:21:46.250000+00:00,2017-01-28T02:19:10.798000+00:00,2017-01-24T22:45:27.153000+00:00,2017-01-26T02:06:53.903000+00:00,2017-01-25T06:48:52.315000+00:00",17.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170122a', 'record': 1}","877819310116012013Comcast.cust,114743360825072014Comcast.USRIMS,746252510212082016Comcast.cust",,"d03768f0ae7e549e25841bdf454d286b,f1b053a609bc15210e2cf060e7ad2c2f,2a5308e34ed0498ffff1a1b0599b3ac0",known_good,"[""autotagged on 2017-02-08T15:36:16.643843 by fwph""]",BR,,,,BR,,BR,"{'corpus': 'tagging_source_comcast.csv', 'flavor': '', 'record': 342}",Equipment Returns,"2017-01-27T01:03:52.895000+00:00,2017-01-28T19:53:07.828000+00:00,2017-01-27T00:12:06.483000+00:00",2.25
"{'corpus': 'ccsrsprod', 'flavor': 'week20170122a', 'record': 2}","105720040111081515COMCAST.USRMIG,245532280606112016Comcast.cust,487302271218092014Comcast.USRIMS","BPP,BP,BPP,BP","5da1875d2fd8ee6e252f17a634c4ec68,a7e593425533355bcbb1743b4493c4c5,ff10c23b0a6c176fec3f6257b57693ca",known_good,"[""autotagged on 2017-02-08T15:36:16.643884 by fwph"", ""2017-08-24T18:53:08.147100: autotagged by lisa"", ""2017-08-25T13:57:30.696119: autotagged by lisa"", ""2017-08-25T16:18:57.002850: autotagged by lisa"", ""2017-09-12T17:28:19.895293: autotagged by willwolf""]",BPP,,,,BPP,,BPP,"('comcast-tagsource20170907.csv', '', 267)",Pay My Bill,"2017-01-25T15:57:49.422000+00:00,2017-01-26T16:28:51.918000+00:00,2017-01-29T07:28:07.838000+00:00",2.25
"{'corpus': 'ccsrsprod', 'flavor': 'week20170122a', 'record': 3}","238320061021075757COMCAST.USRMIG,493809460312012017Comcast.cust",,"e6bbc432f8f48e6140e4726cae0a913a,c835ebc72828d4470f286cd20b193aea",known_good,"[""autotagged on 2017-02-08T15:36:16.643919 by fwph""]",OS,,,,OS,,OS,"{'corpus': 'tagging_source_comcast.csv', 'flavor': '', 'record': 334}",Contact customer service,"2017-01-27T00:53:20.113000+00:00,2017-01-25T13:22:19.222000+00:00",2.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170122a', 'record': 4}","741434470811102016Comcast.cust,887844131024072016Comcast.cust",,"8564045d01bec200ed9de607f581286c,a0cb4a042c8f1c3061f7f3d9634de260",known_good,"[""autotagged on 2017-02-08T15:36:16.643951 by fwph""]",RIWH,,,,RIW,,RIWH,"{'corpus': 'tagging_source_comcast.csv', 'flavor': '', 'record': 346}",Hotspots,"2017-01-24T20:13:05.978000+00:00,2017-01-26T19:46:55.474000+00:00",1.7142857142857142
"{'corpus': 'ccsrsprod', 'flavor': 'week20170122a', 'record': 5}","790533570709092016Comcast.cust,947132311214012017Comcast.cust",,"b4efbb4cef0abd405ecdf7c2710d8a5d,a452041d113c3091ad01e8236984e05d",ccSklearnLogitEnsemble,"[""autotagged on 2017-02-08T15:36:16.643982 by fwph""]",AX,,,,AX,,AX,"{'corpus': 'tagging_source_comcast.csv', 'flavor': '', 'record': 370}",Pandora app,"2017-01-25T02:30:46.826000+00:00,2017-01-27T20:08:38.102000+00:00",0.6666666666666666
"{'corpus': 'ccsrsprod', 'flavor': 'week20170122a', 'record': 6}","049252391914122009Comcast.USR9JR,306902470231012005Comcast.USR3JR",,"146662d7aa552569ede087d57d575133,b81e84535fa51448b95eedc0957f825c",known_good,"[""autotagged on 2017-02-08T15:36:16.644013 by fwph""]",RI,,,,RI,,RI,"{'corpus': 'tagging_source_comcast.csv', 'flavor': '', 'record': 389}",Reset modem,"2017-01-24T20:01:06.481000+00:00,2017-01-25T06:09:11.788000+00:00",2.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170122a', 'record': 7}","617817320108082015Comcast.cust,614902090826012017Comcast.cust",,"28275116a2b94100536e30c382ada854,ad710bfb9b09ee1cbc67f5e03e1b2629",known_good,"[""autotagged on 2017-02-08T15:36:16.644045 by fwph""]",RIWH,,,,RIWH,,RIWH,"{'corpus': 'tagging_source_comcast.csv', 'flavor': '', 'record': 415}",Wifi hotspot,"2017-01-27T23:00:02.825000+00:00,2017-01-27T13:50:32.005000+00:00",1.7142857142857142
"{'corpus': 'ccsrsprod', 'flavor': 'week20170122a', 'record': 8}",280637330513112013Comcast.USRIMS,,c25993e7994c249c79112c46ecbdfdc4,ccSklearnLogitEnsemble,"[""autotagged on 2017-02-08T15:36:16.644079 by fwph""]",RIE,,,,RIE,,RIE,"{'corpus': 'tagging_source_comcast.csv', 'flavor': '', 'record': 67}",Access my email,2017-01-26T17:33:45.092000+00:00,1.0
"{'corpus': 'ccsrsprod', 'flavor': 'week20170122a', 'record': 9}",747328350324112016Comcast.cust,,1b2f129b42d4b2542061a0f1b88ace11,ccSklearnLogitEnsemble,"[""autotagged on 2017-02-08T15:36:16.644110 by fwph"", ""2017-04-19T14:16:09.812786: B retag data from 20170413""]",BA,,,,B,,BA,"('cctraining', 'bretag20170413', 44)",Account setup,2017-01-28T07:02:23.100000+00:00,0.9285714285714286
